Ref,Val,Package,PosX,PosY,Rot,Side
"F1","Fuse","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.000000,-25.750000,180.000000,top
"J1","CN105","JST_XA_S05B-XASK-1_1x05_P2.50mm_Horizontal",29.750000,-27.000000,-90.000000,top
"J2","i2C","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",26.750000,-47.750000,-90.000000,top
"Q1","BSS138","SOT-23",44.812500,-39.050000,180.000000,top
"Q2","BSS138","SOT-23",44.731250,-32.000000,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.312500,-39.137500,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.312500,-32.087500,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.093750,-39.137500,-90.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.093750,-32.087500,-90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.250000,-49.750000,90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.000000,-49.750000,-90.000000,top
"U1","ESP32-C6-Zero","Waveshare-ESP32-C6-Zero",71.640000,-40.700000,-90.000000,top
